Precinct Name,Voting District,Type,One Race,White,Black,Native American,Asian,Pacific Islander,Other,Two or more,Hispanic/Latino,18+,,,
Baltimore County  Precinct 02-003,02-003,Adj,645,55,542,1,40,0,7,53,55,581,,,
Baltimore County  Precinct 02-004,02-004,Adj,"3,973",136,"3,788",7,25,0,17,82,193,"3,312",,,
Baltimore County  Precinct 02-005,02-005,Adj,"3,427",149,"3,144",10,103,0,21,83,200,"2,873",,,
Baltimore County  Precinct 02-006,02-006,Adj,"4,052",296,"3,635",16,75,1,29,140,377,"3,661",,,
Baltimore County  Precinct 02-007,02-007,Adj,"3,630",168,"3,386",5,63,1,7,100,159,"2,961",,,
Baltimore County  Precinct 02-008,02-008,Adj,"3,156",238,"2,807",8,84,0,19,110,116,"2,817",,,
Baltimore County  Precinct 02-009,02-009,Adj,"3,919",176,"3,668",3,42,0,30,108,159,"3,149",,,
Baltimore County  Precinct 02-010,02-010,Adj,"5,760",325,"5,200",10,188,1,36,178,378,"4,885",,,
Baltimore County  Precinct 02-011,02-011,Adj,"6,935",696,"5,964",16,201,5,53,247,424,"5,646",,,
Baltimore County  Precinct 02-012,02-012,Adj,"6,994",689,"6,118",13,121,2,51,274,218,"5,764",,,
Baltimore County  Precinct 02-013,02-013,Adj,"4,178",435,"3,598",3,106,1,35,188,304,"3,782",,,
Baltimore County  Precinct 02-014,02-014,Adj,"5,051",350,"4,551",3,126,0,21,150,143,"4,301",,,
Baltimore County  Precinct 02-015,02-015,Adj,"7,042","1,114","5,186",9,679,5,49,294,260,"5,933",,,
Baltimore County  Precinct 02-016,02-016,Adj,"1,839",205,"1,570",4,54,0,6,73,102,"1,637",,,
Baltimore County  Precinct 02-017,02-017,Adj,"4,256",208,"3,949",3,62,2,32,107,132,"3,486",,,
Baltimore County  Precinct 02-018,02-018,Adj,"1,522",234,"1,238",1,30,1,18,64,38,"1,346",,,
Baltimore County  Precinct 02-019,02-019,Adj,"1,415",889,465,6,46,0,9,65,74,"1,335",,,
Baltimore County  Precinct 02-020,02-020,Adj,973,253,683,4,26,0,7,35,31,869,,,
Baltimore County  Precinct 02-021,02-021,Adj,"1,238",897,305,5,20,0,11,65,56,"1,132",,,
Baltimore County  Precinct 02-022,02-022,Unadj,50,12,34,0,4,0,0,2,1,46,,,
Baltimore County  Precinct 02-023,02-023,Adj,726,250,448,4,19,0,5,13,23,568,,,
Baltimore County  Precinct 02-024,02-024,Adj,"3,439",210,"3,156",7,46,4,16,133,133,"2,929",,,
Baltimore County  Precinct 02-025,02-025,Adj,717,532,171,0,10,0,4,7,5,714,,,
Baltimore County  Precinct 02-026,02-026,Adj,"2,921",919,"1,786",3,190,1,22,130,157,"2,595",,,
Baltimore County  Precinct 02-027,02-027,Adj,"3,246",325,"2,735",1,173,1,11,105,93,"2,584",,,
Baltimore County  Precinct 02-028,02-028,Adj,447,18,422,0,7,0,0,10,21,379,,,
Baltimore County  Precinct 02-029,02-029,Adj,"4,719",798,"3,366",8,520,0,27,121,147,"3,930",,,
Baltimore County  Precinct 02-030,02-030,Adj,504,313,166,1,21,0,3,19,22,449,,,
Baltimore County  Precinct 02-031,02-031,Adj,"3,067",254,"2,719",7,74,0,13,73,287,"2,719",,,
Baltimore County  Precinct 03-001,03-001,Adj,"4,246",382,"3,777",18,48,2,19,171,199,"3,810",,,
Baltimore County  Precinct 03-002,03-002,Adj,"3,678","1,104","2,419",9,129,5,12,146,554,"3,470",,,
Baltimore County  Precinct 03-003,03-003,Adj,"2,826",349,"2,396",4,55,0,22,138,208,"2,550",,,
Baltimore County  Precinct 03-004,03-004,Adj,"2,086",788,"1,171",6,100,1,20,123,221,"1,956",,,
Baltimore County  Precinct 03-005,03-005,Adj,"3,863","2,024","1,632",3,181,0,23,149,243,"3,731",,,
Baltimore County  Precinct 03-006,03-006,Unadj,"3,252","2,977",174,4,63,1,33,87,104,"2,707",,,
Baltimore County  Precinct 03-007,03-007,Adj,"6,584","5,767",379,2,355,1,80,230,252,"4,431",,,
Baltimore County  Precinct 03-008,03-008,Adj,"3,952","3,209",404,1,318,2,18,117,98,"3,389",,,
Baltimore County  Precinct 03-009,03-009,Adj,"5,446","3,652","1,179",12,523,1,79,236,175,"4,398",,,
Baltimore County  Precinct 03-010,03-010,Adj,"3,616","3,233",239,1,113,1,29,94,57,"3,023",,,
Baltimore County  Precinct 03-011,03-011,Adj,"4,062","2,295","1,523",6,220,0,18,134,141,"3,494",,,
Baltimore County  Precinct 03-012,03-012,Adj,"3,421","1,170","2,058",3,173,0,17,140,201,"2,972",,,
Baltimore County  Precinct 03-013,03-013,Unadj,"2,489","2,216",128,2,127,3,13,111,109,"2,183",,,
Baltimore County  Precinct 03-014,03-014,Adj,"2,486","1,787",624,3,64,2,6,46,121,"1,942",,,
Baltimore County  Precinct 04-001,04-001,Adj,"4,671","1,394","2,874",3,350,2,48,219,452,"4,166",,,
Baltimore County  Precinct 04-002,04-002,Adj,"4,756","1,493","2,638",7,566,0,52,258,891,"4,441",,,
Baltimore County  Precinct 04-003,04-003,Adj,"3,605","2,956",486,3,144,0,16,90,155,"3,287",,,
Baltimore County  Precinct 04-004,04-004,Adj,"4,705","2,883","1,429",8,350,0,35,219,284,"4,012",,,
Baltimore County  Precinct 04-005,04-005,Adj,"3,505","1,860","1,319",15,296,2,13,167,428,"3,107",,,
Baltimore County  Precinct 04-006,04-006,Adj,"3,698","1,775","1,562",7,320,4,30,242,952,"3,658",,,
Baltimore County  Precinct 04-007,04-007,Adj,"5,628","2,913","2,210",6,462,1,36,289,744,"5,260",,,
Baltimore County  Precinct 04-008,04-008,Adj,"4,545","3,089","1,086",8,326,0,36,180,581,"4,082",,,
Baltimore County  Precinct 04-009,04-009,Adj,"2,234","1,999",177,0,44,0,14,102,140,"2,030",,,
Baltimore County  Precinct 04-010,04-010,Adj,"2,676","1,252","1,089",2,301,0,32,197,397,"2,582",,,
Baltimore County  Precinct 04-011,04-011,Unadj,578,500,63,1,10,0,4,33,45,505,,,
Baltimore County  Precinct 04-012,04-012,Adj,"6,090","2,211","3,301",6,515,1,56,284,500,"5,374",,,
Baltimore County  Precinct 04-013,04-013,Unadj,791,719,34,0,36,0,2,24,29,655,,,
Baltimore County  Precinct 04-014,04-014,Adj,"6,279","1,689","4,130",22,380,2,56,263,"2,106","6,609",,,
Baltimore County  Precinct 04-015,04-015,Unadj,250,61,132,0,57,0,0,5,8,205,,,
Baltimore County  Precinct 05-001,05-001,Adj,"3,408","3,297",56,2,22,0,31,114,130,"2,909",,,
Baltimore County  Precinct 05-002,05-002,Unadj,886,849,13,2,18,0,4,21,29,770,,,
Baltimore County  Precinct 06-001,06-001,Adj,"2,478","2,402",38,7,23,0,8,83,60,"2,066",,,
Baltimore County  Precinct 06-002,06-002,Adj,"2,929","2,803",56,6,52,0,12,132,84,"2,394",,,
Baltimore County  Precinct 07-001,07-001,Adj,"3,760","3,574",75,16,74,3,18,161,128,"3,212",,,
Baltimore County  Precinct 07-002,07-002,Unadj,"1,387","1,339",15,3,22,1,7,67,27,"1,142",,,
Baltimore County  Precinct 07-003,07-003,Adj,"3,086","2,916",80,1,74,0,15,156,94,"2,563",,,
Baltimore County  Precinct 08-001,08-001,Adj,"3,694","3,220",179,8,272,2,13,118,158,"3,250",,,
Baltimore County  Precinct 08-002,08-002,Adj,"2,459","2,176",68,3,203,0,9,34,66,"2,385",,,
Baltimore County  Precinct 08-003,08-003,Adj,"2,009","1,741",96,2,170,0,0,85,98,"1,793",,,
Baltimore County  Precinct 08-004,08-004,Unadj,"2,851","2,436",157,3,248,1,6,114,121,"2,458",,,
Baltimore County  Precinct 08-005,08-005,Unadj,"1,369","1,261",67,0,39,0,2,11,33,"1,330",,,
Baltimore County  Precinct 08-006,08-006,Adj,"7,308","2,837","3,326",23,"1,043",6,73,363,"1,520","7,025",,,
Baltimore County  Precinct 08-007,08-007,Adj,"3,915","1,908","1,019",13,932,8,35,170,"1,322","4,052",,,
Baltimore County  Precinct 08-008,08-008,Adj,"2,430","2,161",96,1,159,0,13,102,88,"2,062",,,
Baltimore County  Precinct 08-009,08-009,Unadj,"3,802","2,915",74,0,804,0,9,123,152,"3,084",,,
Baltimore County  Precinct 08-010,08-010,Adj,"2,970","2,556",85,2,315,2,10,139,96,"2,466",,,
Baltimore County  Precinct 08-011,08-011,Adj,"2,086","1,467",277,4,321,0,17,119,232,"1,949",,,
Baltimore County  Precinct 08-012,08-012,Adj,"2,746","2,364",105,2,273,0,2,92,114,"2,297",,,
Baltimore County  Precinct 08-013,08-013,Adj,"3,254","2,677",130,4,430,0,13,134,223,"2,807",,,
Baltimore County  Precinct 08-014,08-014,Adj,"1,842","1,624",66,1,143,0,8,101,99,"1,608",,,
Baltimore County  Precinct 08-015,08-015,Adj,"1,968","1,649",54,4,240,6,15,81,116,"1,716",,,
Baltimore County  Precinct 08-016,08-016,Adj,"1,282","1,053",107,3,106,0,13,82,65,"1,096",,,
Baltimore County  Precinct 08-017,08-017,Adj,"2,336","2,119",98,5,108,0,6,84,60,"1,932",,,
Baltimore County  Precinct 08-018,08-018,Unadj,"1,128",992,25,0,109,0,2,34,38,939,,,
Baltimore County  Precinct 08-019,08-019,Unadj,"2,982","2,502",43,1,429,1,6,85,78,"2,561",,,
Baltimore County  Precinct 08-020,08-020,Unadj,"1,854","1,473",121,2,258,0,0,75,99,"1,658",,,
Baltimore County  Precinct 08-021,08-021,Unadj,714,641,12,1,58,0,2,20,21,565,,,
Baltimore County  Precinct 08-022,08-022,Unadj,"2,612","2,232",63,4,303,4,6,102,76,"2,249",,,
Baltimore County  Precinct 08-023,08-023,Adj,899,776,58,0,57,0,8,40,30,760,,,
Baltimore County  Precinct 08-024,08-024,Unadj,"1,287","1,193",18,0,75,0,1,56,36,"1,047",,,
Baltimore County  Precinct 08-025,08-025,Adj,"2,259","1,924",115,0,213,1,6,70,69,"1,910",,,
Baltimore County  Precinct 08-026,08-026,Unadj,30,22,4,0,3,0,1,2,0,20,,,
Baltimore County  Precinct 08-027,08-027,Adj,"1,685","1,430",64,1,180,0,10,50,45,"1,425",,,
Baltimore County  Precinct 08-028,08-028,Unadj,521,458,12,0,48,0,3,30,23,414,,,
Baltimore County  Precinct 09-001,09-001,Adj,"3,098","2,901",83,0,108,1,5,119,120,"2,698",,,
Baltimore County  Precinct 09-002,09-002,Unadj,"2,034","1,924",49,0,59,0,2,85,79,"1,667",,,
Baltimore County  Precinct 09-003,09-003,Unadj,"4,497","4,008",203,2,271,0,13,240,291,"3,678",,,
Baltimore County  Precinct 09-004,09-004,Adj,"5,970","4,198","1,383",2,366,2,19,335,430,"5,915",,,
Baltimore County  Precinct 09-005,09-005,Adj,"4,247","3,685",294,4,243,2,19,159,179,"3,761",,,
Baltimore County  Precinct 09-006,09-006,Adj,"3,414","1,790","1,390",5,222,1,6,138,241,"3,373",,,
Baltimore County  Precinct 09-007,09-007,Adj,"2,740","2,282",86,4,350,3,15,123,123,"2,259",,,
Baltimore County  Precinct 09-008,09-008,Adj,"1,870","1,725",39,4,93,1,8,99,61,"1,642",,,
Baltimore County  Precinct 09-009,09-009,Unadj,"2,050","1,850",57,0,136,2,5,63,37,"1,693",,,
Baltimore County  Precinct 09-010,09-010,Adj,"8,187","5,205","2,073",11,850,4,44,350,489,"7,985",,,
Baltimore County  Precinct 09-011,09-011,Adj,"3,511","2,241",901,8,343,1,17,163,272,"3,431",,,
Baltimore County  Precinct 09-012,09-012,Unadj,"2,350","2,066",138,6,134,0,6,115,127,"2,132",,,
Baltimore County  Precinct 09-013,09-013,Adj,"3,050","2,874",78,0,79,0,19,148,117,"2,355",,,
Baltimore County  Precinct 09-014,09-014,Adj,"3,204","2,360",532,4,292,0,16,154,296,"2,629",,,
Baltimore County  Precinct 09-015,09-015,Adj,"3,520","1,658","1,382",16,435,0,29,204,222,"3,229",,,
Baltimore County  Precinct 09-016,09-016,Adj,"1,215",856,286,1,69,1,2,57,102,"1,100",,,
Baltimore County  Precinct 09-017,09-017,Adj,"1,909",944,837,2,117,0,9,88,246,"1,691",,,
Baltimore County  Precinct 09-018,09-018,Adj,"3,110","1,602","1,299",9,171,0,29,160,296,"2,667",,,
Baltimore County  Precinct 09-019,09-019,Adj,"3,004","1,697","1,060",10,204,5,28,154,386,"2,828",,,
Baltimore County  Precinct 09-020,09-020,Adj,"4,736",429,"4,179",11,99,0,18,126,310,"3,965",,,
Baltimore County  Precinct 09-021,09-021,Adj,"4,004","3,086",706,8,177,1,26,206,258,"3,542",,,
Baltimore County  Precinct 09-022,09-022,Adj,"4,987","3,041","1,704",14,202,0,26,223,340,"4,324",,,
Baltimore County  Precinct 09-023,09-023,Adj,"3,870","2,486","1,071",2,294,1,16,162,279,"3,576",,,
Baltimore County  Precinct 09-024,09-024,Adj,"4,510","3,222",935,12,306,5,30,266,223,"3,920",,,
Baltimore County  Precinct 09-025,09-025,Adj,"3,453","2,189",980,9,258,0,17,141,174,"2,947",,,
Baltimore County  Precinct 09-026,09-026,Adj,"1,906","1,394",349,11,138,1,13,124,195,"1,768",,,
Baltimore County  Precinct 09-027,09-027,Unadj,39,31,3,1,3,0,1,4,0,24,,,
Baltimore County  Precinct 09-028,09-028,Adj,"2,807",755,"1,945",7,74,5,21,127,212,"2,417",,,
Baltimore County  Precinct 09-029,09-029,Unadj,"2,313","1,128","1,049",3,120,0,13,108,183,"2,587",,,
Baltimore County  Precinct 10-001,10-001,Adj,"3,054","2,959",28,1,53,0,13,115,126,"2,552",,,
Baltimore County  Precinct 10-002,10-002,Adj,"1,936","1,834",20,4,70,0,8,88,55,"1,618",,,
Baltimore County  Precinct 10-003,10-003,Adj,"1,815","1,719",36,0,56,0,4,54,76,"1,492",,,
Baltimore County  Precinct 10-004,10-004,Adj,"2,523","2,393",35,3,77,0,15,108,79,"2,081",,,
Baltimore County  Precinct 10-005,10-005,Unadj,391,369,0,0,20,0,2,13,12,322,,,
Baltimore County  Precinct 10-006,10-006,Unadj,18,14,4,0,0,0,0,3,3,21,,,
Baltimore County  Precinct 10-007,10-007,Unadj,731,696,12,4,14,0,5,47,28,620,,,
Baltimore County  Precinct 11-001,11-001,Adj,"1,984","1,900",38,0,41,2,3,78,51,"1,722",,,
Baltimore County  Precinct 11-002,11-002,Adj,"3,290","3,208",26,1,44,0,11,144,123,"2,826",,,
Baltimore County  Precinct 11-003,11-003,Adj,"4,713","4,570",52,5,63,11,12,145,166,"4,153",,,
Baltimore County  Precinct 11-004,11-004,Adj,"3,840","2,481",613,4,736,0,6,177,169,"2,956",,,
Baltimore County  Precinct 11-005,11-005,Adj,"3,342","2,461",309,10,544,0,18,209,116,"2,728",,,
Baltimore County  Precinct 11-006,11-006,Adj,"2,338","2,074",110,6,141,0,7,113,70,"2,051",,,
Baltimore County  Precinct 11-007,11-007,Adj,"4,925","3,608",621,14,667,0,15,234,194,"4,229",,,
Baltimore County  Precinct 11-008,11-008,Adj,"2,398","1,873",317,2,194,3,9,101,90,"2,079",,,
Baltimore County  Precinct 11-009,11-009,Adj,"3,590","2,187","1,032",7,348,0,16,168,176,"2,991",,,
Baltimore County  Precinct 11-010,11-010,Adj,"4,370","2,538","1,079",2,723,3,25,199,248,"3,870",,,
Baltimore County  Precinct 11-011,11-011,Adj,"4,972","3,021","1,019",9,900,3,20,249,191,"4,142",,,
Baltimore County  Precinct 11-012,11-012,Adj,"4,632","3,256",800,11,536,1,28,159,198,"3,977",,,
Baltimore County  Precinct 11-013,11-013,Unadj,"1,518",908,339,2,265,0,4,71,117,"1,354",,,
Baltimore County  Precinct 11-014,11-014,Adj,"3,503","2,760",251,3,478,0,11,169,139,"2,982",,,
Baltimore County  Precinct 11-015,11-015,Unadj,"2,106","2,051",18,0,34,0,3,24,69,"2,150",,,
Baltimore County  Precinct 11-016,11-016,Adj,"3,292","1,273","1,627",3,362,4,23,191,237,"2,583",,,
Baltimore County  Precinct 11-017,11-017,Adj,"4,268","2,919",715,0,616,1,17,192,142,"3,560",,,
Baltimore County  Precinct 11-018,11-018,Unadj,829,674,79,0,76,0,0,27,56,704,,,
Baltimore County  Precinct 11-019,11-019,Adj,"3,703","2,419",707,6,545,1,25,138,167,"3,055",,,
Baltimore County  Precinct 11-020,11-020,Adj,93,91,2,0,0,0,0,1,1,81,,,
Baltimore County  Precinct 11-021,11-021,Adj,"1,292",827,321,2,136,0,6,55,79,"1,088",,,
Baltimore County  Precinct 11-022,11-022,Adj,"5,490","3,869",614,4,981,0,22,207,189,"4,565",,,
Baltimore County  Precinct 11-023,11-023,Unadj,"1,027",967,8,0,44,1,7,36,26,859,,,
Baltimore County  Precinct 11-024,11-024,Adj,485,463,16,0,5,0,1,39,21,445,,,
Baltimore County  Precinct 11-025,11-025,Unadj,5,2,3,0,0,0,0,1,0,1,,,
Baltimore County  Precinct 11-026,11-026,Unadj,341,331,6,0,4,0,0,13,7,300,,,
Baltimore County  Precinct 11-027,11-027,Unadj,12,8,3,0,0,0,1,3,4,15,,,
Baltimore County  Precinct 12-001,12-001,Adj,"2,652","2,193",315,31,82,0,31,167,"1,249","3,063",,,
Baltimore County  Precinct 12-002,12-002,Adj,"3,719","2,900",648,47,88,1,35,294,835,"3,547",,,
Baltimore County  Precinct 12-003,12-003,Adj,"4,257","3,430",532,45,223,0,27,236,"1,123","4,336",,,
Baltimore County  Precinct 12-004,12-004,Adj,"5,045","4,365",475,38,141,1,25,314,576,"4,720",,,
Baltimore County  Precinct 12-005,12-005,Adj,"3,878","3,271",461,50,74,0,22,312,359,"3,398",,,
Baltimore County  Precinct 12-006,12-006,Adj,"4,037","2,883",992,36,102,0,24,349,583,"3,529",,,
Baltimore County  Precinct 12-007,12-007,Adj,"5,014","4,163",691,40,84,1,35,368,488,"4,454",,,
Baltimore County  Precinct 12-008,12-008,Adj,"2,880","2,499",232,14,109,4,22,204,403,"2,776",,,
Baltimore County  Precinct 12-009,12-009,Adj,"1,614","1,156",392,16,38,2,10,132,447,"1,595",,,
Baltimore County  Precinct 12-010,12-010,Adj,"3,166","2,443",624,20,65,0,14,261,556,"3,127",,,
Baltimore County  Precinct 12-011,12-011,Adj,"4,697","3,399","1,166",51,60,4,17,297,660,"4,426",,,
Baltimore County  Precinct 12-012,12-012,Adj,"3,065","2,764",218,12,66,1,4,184,293,"2,815",,,
Baltimore County  Precinct 12-013,12-013,Adj,"2,258",347,"1,866",12,32,0,1,192,229,"1,864",,,
Baltimore County  Precinct 13-001,13-001,Adj,"5,093","2,049","1,105",15,"1,902",1,21,302,313,"4,300",,,
Baltimore County  Precinct 13-002,13-002,Adj,"2,599","1,981",219,4,375,0,20,124,94,"2,215",,,
Baltimore County  Precinct 13-003,13-003,Adj,"3,754","3,042",414,4,274,0,20,238,165,"3,258",,,
Baltimore County  Precinct 13-004,13-004,Adj,"3,585","2,996",359,3,220,0,7,189,154,"3,171",,,
Baltimore County  Precinct 13-005,13-005,Adj,"3,768","3,044",407,14,286,0,17,281,223,"3,430",,,
Baltimore County  Precinct 13-006,13-006,Adj,"1,514",999,381,3,109,1,21,75,239,"1,363",,,
Baltimore County  Precinct 13-007,13-007,Adj,"3,076","1,474","1,413",13,122,1,53,251,"1,590","3,448",,,
Baltimore County  Precinct 13-008,13-008,Adj,"2,285","1,943",151,5,178,2,6,152,413,"2,277",,,
Baltimore County  Precinct 13-009,13-009,Adj,"5,868","3,683","1,815",19,300,3,48,420,"1,739","5,713",,,
Baltimore County  Precinct 14-001,14-001,Adj,"2,538","2,091",311,17,93,0,26,106,114,"2,217",,,
Baltimore County  Precinct 14-002,14-002,Adj,"5,175","2,569","1,558",9,"1,018",1,20,253,307,"4,600",,,
Baltimore County  Precinct 14-003,14-003,Adj,"4,663","2,320","1,786",17,491,2,47,238,290,"4,041",,,
Baltimore County  Precinct 14-004,14-004,Unadj,553,367,118,0,68,0,0,18,29,490,,,
Baltimore County  Precinct 14-005,14-005,Adj,"1,432",394,832,5,188,0,13,57,64,"1,176",,,
Baltimore County  Precinct 14-006,14-006,Adj,"4,167","3,109",905,12,113,0,28,209,232,"3,587",,,
Baltimore County  Precinct 14-007,14-007,Adj,"3,193","1,922","1,165",13,69,3,21,169,257,"2,789",,,
Baltimore County  Precinct 14-008,14-008,Adj,"4,694","1,139","3,449",10,72,9,15,148,204,"3,788",,,
Baltimore County  Precinct 14-009,14-009,Adj,"6,070","1,659","3,683",22,662,1,43,234,841,"5,556",,,
Baltimore County  Precinct 14-010,14-010,Adj,"3,043","1,623",989,13,399,1,18,114,272,"2,790",,,
Baltimore County  Precinct 14-011,14-011,Adj,"3,027","1,645","1,116",4,241,1,20,160,402,"2,888",,,
Baltimore County  Precinct 14-012,14-012,Adj,"2,461","2,107",222,10,96,0,26,183,134,"2,265",,,
Baltimore County  Precinct 14-013,14-013,Adj,"3,911","1,506","1,958",7,404,1,35,160,393,"3,589",,,
Baltimore County  Precinct 14-014,14-014,Adj,878,414,426,0,35,0,3,30,28,750,,,
Baltimore County  Precinct 15-001,15-001,Adj,"2,000","1,572",319,14,78,4,13,139,"1,338","2,526",,,
Baltimore County  Precinct 15-002,15-002,Adj,"3,358","2,713",455,15,163,0,12,189,475,"3,264",,,
Baltimore County  Precinct 15-003,15-003,Adj,"2,781","2,384",252,30,99,0,16,146,191,"2,605",,,
Baltimore County  Precinct 15-004,15-004,Adj,"5,476","2,488","2,657",10,288,1,32,362,684,"4,749",,,
Baltimore County  Precinct 15-005,15-005,Adj,"9,836","4,379","4,690",38,684,1,44,578,"1,194","8,415",,,
Baltimore County  Precinct 15-006,15-006,Adj,"2,988","2,847",100,5,27,0,9,166,81,"2,669",,,
Baltimore County  Precinct 15-007,15-007,Adj,"4,338","2,968","1,301",3,45,3,18,240,335,"3,858",,,
Baltimore County  Precinct 15-008,15-008,Adj,"3,680","2,478","1,092",11,74,3,22,216,151,"3,127",,,
Baltimore County  Precinct 15-009,15-009,Adj,"1,405","1,295",80,2,28,0,0,77,53,"1,326",,,
Baltimore County  Precinct 15-010,15-010,Adj,"3,985","2,242","1,651",23,28,2,39,277,336,"3,306",,,
Baltimore County  Precinct 15-011,15-011,Adj,"4,170","2,648","1,329",28,128,2,35,287,516,"3,725",,,
Baltimore County  Precinct 15-012,15-012,Adj,"2,466","2,112",186,17,123,0,28,172,243,"2,383",,,
Baltimore County  Precinct 15-013,15-013,Adj,"2,062","1,858",114,7,71,0,12,97,133,"1,864",,,
Baltimore County  Precinct 15-014,15-014,Adj,"1,258","1,018",186,5,42,1,6,80,161,"1,154",,,
Baltimore County  Precinct 15-015,15-015,Adj,"2,981","2,441",382,28,101,1,28,244,373,"2,957",,,
Baltimore County  Precinct 15-016,15-016,Adj,"3,426","2,499",793,31,75,4,24,250,411,"3,164",,,
Baltimore County  Precinct 15-017,15-017,Adj,"4,617","1,435","3,035",21,82,1,43,306,463,"3,801",,,
Baltimore County  Precinct 15-018,15-018,Adj,"3,158","2,068",996,22,42,3,27,195,290,"2,853",,,
Baltimore County  Precinct 15-019,15-019,Adj,"4,268","3,726",457,13,52,0,20,154,128,"3,850",,,
Baltimore County  Precinct 15-020,15-020,Adj,"5,393","4,569",656,55,95,0,18,419,514,"4,937",,,
Baltimore County  Precinct 15-021,15-021,Adj,"5,127","4,718",329,13,57,1,9,212,115,"4,416",,,
Baltimore County  Precinct 15-022,15-022,Adj,"4,177","4,016",99,9,34,1,18,250,132,"3,628",,,
Baltimore County  Precinct 15-023,15-023,Adj,"6,556","1,411","4,983",15,98,2,47,363,439,"5,467",,,
Baltimore County  Precinct 15-024,15-024,Adj,"1,170",840,262,13,49,0,6,69,99,"1,156",,,
Baltimore County  Precinct 15-025,15-025,Adj,"5,018","3,469","1,195",19,320,1,14,251,224,"4,496",,,
Baltimore County  Precinct 15-026,15-026,Adj,"2,136","2,081",26,5,23,0,1,60,68,"1,968",,,
Calvert Precinct 01-001,01-001,Adj,"3,591","3,099",402,5,81,1,3,142,121,"3,367",,,
Calvert Precinct 01-002,01-002,Adj,"3,638","2,613",948,9,43,3,22,299,229,"3,114",,,
Calvert Precinct 01-003,01-003,Adj,"3,141","2,717",373,4,27,2,18,241,178,"2,754",,,
Calvert Precinct 01-004,01-004,Adj,"3,024","2,588",374,7,31,6,18,196,104,"2,644",,,
Calvert Precinct 01-005,01-005,Adj,"4,238","3,394",763,14,45,0,22,302,285,"3,594",,,
Calvert Precinct 01-006,01-006,Adj,"4,237","3,431",679,14,93,0,20,346,233,"3,608",,,
Calvert Precinct 01-007,01-007,Adj,"3,714","3,139",492,9,56,3,15,281,146,"3,224",,,
Calvert Precinct 02-001,02-001,Adj,"4,198","3,465",645,12,64,1,11,268,205,"3,572",,,
Calvert Precinct 02-002,02-002,Adj,"3,888","2,842",936,15,73,5,17,237,247,"3,300",,,
Calvert Precinct 02-003,02-003,Adj,"3,099","2,758",244,7,71,2,17,207,150,"2,691",,,
Calvert Precinct 02-004,02-004,Adj,"4,420","3,313",980,21,78,5,23,291,169,"3,734",,,
Calvert Precinct 02-005,02-005,Adj,"3,702","3,278",294,2,90,3,35,220,164,"3,154",,,
Calvert Precinct 02-006,02-006,Unadj,"2,909","2,464",361,5,65,4,10,158,117,"2,430",,,
Calvert Precinct 02-007,02-007,Adj,"2,772","2,583",82,8,83,4,12,205,90,"2,314",,,
Calvert Precinct 02-008,02-008,Adj,"4,280","3,536",603,21,104,3,13,278,221,"3,594",,,
Calvert Precinct 03-001,03-001,Adj,"2,736","2,298",357,3,55,8,15,241,211,"2,524",,,
Calvert Precinct 03-002,03-002,Adj,"3,189","2,577",565,1,26,3,17,267,180,"2,753",,,
Calvert Precinct 03-003,03-003,Adj,"3,963","3,110",729,20,79,1,24,290,189,"3,303",,,
Calvert Precinct 03-004,03-004,Adj,"3,317","2,981",282,3,35,1,15,244,170,"2,873",,,
Calvert Precinct 03-005,03-005,Adj,"3,665","2,859",716,9,64,5,12,197,173,"3,108",,,
Calvert Precinct 03-006,03-006,Unadj,"2,913","2,538",267,6,82,1,19,168,153,"2,482",,,
Calvert Precinct 03-007,03-007,Adj,"3,727","3,290",295,7,117,2,16,216,214,"3,144",,,
Calvert Precinct 03-008,03-008,Adj,"4,698","3,961",600,5,88,12,32,369,254,"3,786",,,
Caroline Precinct 01-001,01-001,Adj,"1,892","1,764",100,1,11,2,14,112,"1,367","2,411",,,
Caroline Precinct 02-001,02-001,Adj,"4,795","4,388",332,13,33,0,29,301,408,"4,190",,,
Caroline Precinct 03-001,03-001,Adj,"6,956","5,600","1,169",31,136,2,18,369,357,"5,788",,,
Caroline Precinct 04-001,04-001,Adj,"3,534","3,050",445,5,24,0,10,145,161,"3,019",,,
Caroline Precinct 05-001,05-001,Adj,"4,607","2,980","1,524",5,83,2,13,236,195,"3,757",,,
Caroline Precinct 06-001,06-001,Adj,"1,968","1,803",152,0,9,2,2,79,77,"1,738",,,
Caroline Precinct 07-001,07-001,Adj,"3,425","2,861",504,5,38,1,16,165,230,"2,961",,,
Caroline Precinct 08-001,08-001,Adj,"1,951","1,736",193,7,11,4,0,57,27,"1,629",,,
Carroll Precinct 01-001,01-001,Adj,"4,946","4,738",143,12,28,0,25,190,147,"4,279",,,
Carroll Precinct 01-002,01-002,Adj,"4,114","3,692",350,11,50,0,11,256,212,"3,298",,,
Carroll Precinct 02-001,02-001,Unadj,"1,797","1,758",17,0,15,0,7,72,40,"1,513",,,
Carroll Precinct 02-002,02-002,Adj,"2,095","2,038",17,0,32,0,8,65,62,"1,761",,,
Carroll Precinct 03-001,03-001,Adj,"5,168","5,027",81,7,41,0,12,192,107,"4,394",,,
Carroll Precinct 04-001,04-001,Adj,"7,538","7,083",256,13,154,4,28,381,269,"6,480",,,
Carroll Precinct 04-002,04-002,Adj,"2,991","2,871",59,2,43,0,16,104,68,"2,510",,,
